show_id,type,title,director,cast,date_added,release_year,rating,duration,listed_in,description,plataforma,age_category,imdbRating
s5,TV Show,The Beatles: Get Back,Desconocido,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",2021-11-25,2021,Desconocido,1 Season,"Docuseries, Historical, Music",A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,disney,Desconocido,8.9
s7,TV Show,Hawkeye,Desconocido,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",2021-11-24,2021,TV-14,1 Season,"Action-Adventure, Superhero",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,disney,Para adolescentes,7.5
s8,TV Show,Port Protection Alaska,Desconocido,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",2021-11-24,2015,TV-14,2 Seasons,"Docuseries, Reality, Survival",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,disney,Para adolescentes,No se encontró información para: Port%20Protection%20Alaska
s9,TV Show,Secrets of the Zoo: Tampa,Desconocido,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",2021-11-24,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,disney,Para niños mayores,8.0
s14,TV Show,"Dr. Oakley, Yukon Vet",Desconocido,"Dr. Michelle Oakley, Zachary Fine",2021-11-17,2013,TV-PG,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon.",disney,Para niños mayores,8.4
s18,TV Show,Disney Fancy Nancy,Desconocido,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath",2021-11-12,2018,TV-PG,3 Seasons,"Animation, Kids",Nancy makes every day extraordinary!,disney,Para niños mayores,No se encontró información para: Disney%20Fancy%20Nancy
s19,TV Show,Disney Intertwined,Desconocido,"Carolina Domenech, JosÃ© JimÃ©nez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes",2021-11-12,2021,TV-PG,1 Season,"Comedy, Coming of Age, Drama",Allegra is ready to change the past in order to reach her dream.,disney,Para niños mayores,N/A
s29,TV Show,Olaf Presents,Desconocido,Josh Gad,2021-11-12,2021,TV-PG,1 Season,"Animation, Family",Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales.,disney,Para niños mayores,7.3
s52,TV Show,Disney Amphibia,Desconocido,"Justin Felbinger, Amanda Leighton, Bill Farmer, Brenda Song",2021-11-03,2018,TV-Y7,3 Seasons,"Animation, Comedy, Family",Anne Boonchuy is transported to the world of Amphibia.,disney,Para niños mayores,No se encontró información para: Disney%20Amphibia
s53,TV Show,Photo Ark,Desconocido,Joel Sartore,2021-11-03,2017,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",National Geographic photographer Joel Sartore photographs some of the rarest animals in the world.,disney,Para niños mayores,8.2
s54,TV Show,Storm Rising,Desconocido,No Disponible,2021-11-03,2021,TV-14,1 Season,"Action-Adventure, Animals & Nature, Docuseries",Storm chasers Reed Timmer and Mike Theiss track and study a new category of deadly storms.,disney,Para adolescentes,7.4
s59,TV Show,PJ Masks,Desconocido,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley",2021-10-20,2015,TV-Y7,5 Seasons,"Action-Adventure, Animation, Kids",Look out Night Time Baddies the PJ Masks are coming!,disney,Para niños mayores,5.3
s60,TV Show,The Wild Life of Dr. Ole,Desconocido,No Disponible,2021-10-20,2021,TV-PG,1 Season,"Animals & Nature, Reality","Doc Ole practices his unique brand of animal care with wit, expertise and insight.",disney,Para niños mayores,7.8
s63,TV Show,Apollo: Back To The Moon,Desconocido,"Bill Anders, Jack Clemons, Fred Haise, Glynn Lunney, Jay Barbree, Brad Vinikow",2021-10-13,2019,TV-PG,1 Season,"Docuseries, Historical","Follow the Apollo lunar landing program from the inside, as never shown before.",disney,Para niños mayores,6.6
s64,TV Show,Just Beyond,Desconocido,"Mckenna Grace, Lexi Underwood, Cedric Joe, Tim Heidecker, Riki Lindhome, Nasim Pedrad",2021-10-13,2021,TV-PG,1 Season,"Anthology, Comedy, Coming of Age","Inspired by the writings of R.L. Stine, âJust Beyondâ is a supernatural anthology series.",disney,Para niños mayores,6.2
s65,TV Show,Secrets Of The Zoo: Down Under,Desconocido,Naomi Watts,2021-10-13,2020,TV-14,2 Seasons,"Animals & Nature, Docuseries, Family",This series is a behind-the-scenes look at one of the worldâs most famous zoos.,disney,Para adolescentes,N/A
s66,TV Show,Secrets of the Zoo: North Carolina,Desconocido,No Disponible,2021-10-13,2020,TV-14,1 Season,Reality,"The North Carolina Zoo has more than 1,000 animals that live in lush natural habitats.",disney,Para adolescentes,7.8
s67,TV Show,The Wizard of Paws,Desconocido,No Disponible,2021-10-13,2021,TV-PG,1 Season,"Animals & Nature, Docuseries, Medical",Follow pet prosthetics pioneer Derrick Campana as he gives troubled animals a second chance.,disney,Para niños mayores,9.3
s68,TV Show,Zombies: Addison's Moonstone Mystery,Desconocido,No Disponible,2021-10-13,2020,TV-G,1 Season,"Animation, Coming of Age, Fantasy",Things are smooth sailing at Seabrook High until ...,disney,Para todas las edades / niños pequeños,N/A
s74,TV Show,Among the Stars,Desconocido,Chris Cassidy,2021-10-06,2021,TV-PG,1 Season,Docuseries,NASA Astronaut Captain Chris Cassidy and the NASA team take on the challenges of space exploration.,disney,Para niños mayores,7.7
s76,TV Show,Drain the Oceans,Desconocido,Russell Boulter,2021-10-06,2017,TV-PG,4 Seasons,"Docuseries, Historical",Pull the plug on the ocean to reveal hidden secrets using groundbreaking technology.,disney,Para niños mayores,7.5
s77,TV Show,Drain The Oceans: The Mississippi River & Arctic War,Desconocido,Kerry Shale,2021-10-06,2021,TV-14,1 Season,"Docuseries, Historical",Drain the Oceans takes underwater archaeology into a whole new era.,disney,Para adolescentes,No se encontró información para: Drain%20The%20Oceans:%20The%20Mississippi%20River%20&%20Arctic%20War
s79,TV Show,IMPACT with Gal Gadot,Desconocido,Gal Gadot,2021-10-06,2021,TV-14,1 Season,Docuseries,National Geographic Presents IMPACT with Gal Gadot honors impactful women.,disney,Para adolescentes,4.3
s80,TV Show,The Ghost and Molly McGee,Desconocido,"Ashly Burch, Dana Snyder",2021-10-06,2021,TV-Y7,1 Season,"Animation, Buddy, Coming of Age",A grumpy ghost and cheerful tween are eternally bound.,disney,Para niños mayores,7.5
s86,TV Show,Disney Vampirina,Desconocido,"Isabella Crovetti, Lauren Graham, James Van Der Beek, Jordan Davis, Wanda Sykes, Mitchell Whitfield",2021-09-29,2017,TV-Y7,3 Seasons,"Animation, Fantasy, Kids",Vampirina is the new girl in town!,disney,Para niños mayores,No se encontró información para: Disney%20Vampirina
s87,TV Show,Disney's Magic Bake-Off,Desconocido,"Issac Ryan Brown, Dara ReneÃ©, Graciela Gomez",2021-09-29,2021,TV-G,1 Season,"Family, Game Show / Competition",Kid bakers compete to be named Disney Baking Champion.,disney,Para todas las edades / niños pequeños,6.4
s88,TV Show,Great Barrier Reef,Desconocido,Don Halbert,2021-09-29,2020,TV-PG,1 Season,"Animals & Nature, Docuseries",Explore the complex Great Barrier Reef along with the wildlife that inhabit it.,disney,Para niños mayores,8.3
s89,TV Show,Ready for Preschool,Desconocido,No Disponible,2021-09-29,2019,TV-Y,2 Seasons,"Kids, Music",The love of learning begins with Disney Junior!,disney,Para todas las edades / niños pequeños,N/A
s90,TV Show,Rolie Polie Olie,Desconocido,"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson",2021-09-29,1998,TV-Y,5 Seasons,"Animation, Science Fiction",Rolie Polie Olieâs life and adventures center on his Robo-family.,disney,Para todas las edades / niños pequeños,6.3
s91,TV Show,Star Wars Galaxy of Sounds,Desconocido,No Disponible,2021-09-29,2021,TV-PG,1 Season,"Animation, Anthology, Science Fiction","""Star Wars Galaxy of Sounds"" immerses audiences in the nostalgic ambience of a galaxy far, far away.",disney,Para niños mayores,6.9
s92,TV Show,The Hatcher Family Dairy,Desconocido,No Disponible,2021-09-29,2021,TV-14,1 Season,"Animals & Nature, Docuseries, Reality","The Hatcher Family enjoys a nonstop circus of animals, farming and family.",disney,Para adolescentes,8.8
s93,TV Show,The Simpsons,Desconocido,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden",2021-09-29,1989,TV-PG,32 Seasons,"Animation, Comedy","The worldâs favorite nuclear family, in the award-winning, history-making series.",disney,Para niños mayores,8.7
s97,TV Show,Dog: Impossible,Desconocido,Matt Beisner,2021-09-22,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animalâs needs.,disney,Para niños mayores,7.6
s98,TV Show,Spidey And His Amazing Friends,Desconocido,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",2021-09-22,2021,TV-Y,1 Season,"Action-Adventure, Animation, Kids",Spidey teams up with pals to become The Spidey Team!,disney,Para todas las edades / niños pequeños,5.8
s99,TV Show,Star Wars: Visions,Desconocido,No Disponible,2021-09-22,2021,TV-PG,1 Season,"Action-Adventure, Animation, Anime",An animated anthology celebrating Star Wars through the lens of the worldâs best anime creators.,disney,Para niños mayores,7.0
s107,TV Show,Life Below Zero,Desconocido,"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich",2021-09-15,2012,TV-14,16 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Experience life deep in Alaska where the primal way lives on â brave the wild, fight the freeze.",disney,Para adolescentes,7.9
s108,TV Show,Miraculous: Tales Of Ladybug & Cat Noir,Desconocido,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen",2021-09-15,2015,TV-Y7,1 Season,"Action-Adventure, Animation, Fantasy",Superheroes Ladybug and Cat Noir protect the city.,disney,Para niños mayores,7.5
s109,TV Show,Unknown Waters with Jeremy Wade,Desconocido,Jeremy Wade,2021-09-15,2021,TV-14,1 Season,"Animals & Nature, Docuseries","Angler and adventurer, Jeremy Wade, explores the greatest river system in the world.",disney,Para adolescentes,N/A
s113,TV Show,"Doogie Kamealoha, M.D.",Desconocido,"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia",2021-09-08,2021,TV-PG,1 Season,"Comedy, Coming of Age, Family",A 16-year-old prodigy juggles her budding medical career with the daily challenges of teenage life.,disney,Para niños mayores,7.0
